Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
Ube2g1,-0.229382353,0.853
Golph2,-0.270555993,0.829
Gps1,-0.242976753,0.845
Zranb1,-0.300448367,0.812
2310079P12Rik,-0.153606979,0.899
2510002A14Rik,-0.194294815,0.874
Ganab,-0.239566125,0.847
Kitl,-1.13289427,0.456
Emb,-0.260151897,0.835
Eif3s8,-0.150400989,0.901
Creg1,-0.329159664,0.796
Creg1,-0.358453971,0.78
MGI:1919030,-0.3382504,0.791
Mdk,-0.504304837,0.705
Orc3l,-0.204233052,0.868
Anxa7,-0.270555993,0.829
Prdx4,-0.236163541,0.849
Serpinf1,-0.448114897,0.733
Sec61a1,-0.265344567,0.832
Sec61a1,-0.382701517,0.767
Napa,-0.182786076,0.881
Capn2,-0.205896101,0.867
Tmem19,-0.212567535,0.863
Plod1,-0.45600928,0.729
Ap3m1,-0.545824107,0.685
Eftud2,-0.282789701,0.822
Clpp,-0.3382504,0.791
Bckdha,-0.248107862,0.842
C430010P07Rik,-0.321928095,0.8
Kcnip1,-0.436353731,0.739
Arl6ip2,-0.258425153,0.836
Arl6ip2,-0.575615328,0.671
Hspa5bp1,-0.36215794,0.778
D10Ertd214e,-0.30222618,0.811
Numb,-0.277533976,0.825
3110001A13Rik,-0.422752464,0.746
Cog2,-0.436353731,0.739
Por,-0.358453971,0.78
Ptov1,-0.621488377,0.65
Hsd3b7,-0.793356776,0.577
Stam2,-0.329159664,0.796
Hspb8,-0.332789088,0.794
Hspb8,-0.673462652,0.627
Efemp2,-0.380821784,0.768
Cul7,-0.397828209,0.759
Lcat,-0.190997225,0.876
C1qb,-0.354759487,0.782
Man1a,-0.575615328,0.671
2810052M02Rik,-0.320125852,0.801
Polr2e,-0.340075442,0.79
Tubg1,-0.236163541,0.849
Mbd2,-0.327348371,0.797
Rnf26,-0.182786076,0.881
Crebl1,-0.380821784,0.768
Eng,-0.212567535,0.863
Stk19,-0.823677227,0.565
Sil1,-0.142417045,0.906
Peli1,-0.222632891,0.857
Sertad1,-0.413115187,0.751
Large,-0.267079618,0.831
Myh9,-0.249822294,0.841
Fbxo6b,-0.352915787,0.783
Il11ra1,-0.377069649,0.77
Itgb5,-0.4639471,0.725
Trpc3,-0.537424112,0.689
Crlz1,-0.194294815,0.874
Ptges2,-0.304006187,0.81
Slc15a2,-1.035046947,0.488
Drg2,-0.212567535,0.863
Wwtr1,-0.268816758,0.83
Fbxl15,-0.537424112,0.689
Tnfaip1,-0.19759996,0.872
Slc39a3,-0.352915787,0.783
Tce1,-0.209227962,0.865
Ppp1r7,-0.332789088,0.794
Pdlim4,-0.537424112,0.689
Nab2,-0.75389599,0.593
Igfbp6,-0.369594529,0.774
1810007M14Rik,-0.314732593,0.804
Narg1,-0.397828209,0.759
Hist1h2bc,-0.293358943,0.816
Stx8,-0.450084446,0.732
Plvap,-0.846843212,0.556
Rbl2,-0.332789088,0.794
Sp1,-0.349235441,0.785
Ramp2,-0.64385619,0.64
Atg5l,-0.286304185,0.82
Col18a1,-0.556393349,0.68
Apip,-0.270555993,0.829
Akap1,-0.321928095,0.8
Mknk2,-0.219269964,0.859
Hbegf,-0.360304767,0.779
Mbd6,-0.411195433,0.752
Itga7,-0.316528107,0.803
Tcfl4,-0.341902795,0.789
1810060J02Rik,-0.413115187,0.751
Irx3,-0.524915117,0.695
Mybpc3,-0.839079812,0.559
Gclm,-0.224317298,0.856
Pscd3,-0.231074664,0.852
Rdh11,-0.227692025,0.854
Rdh5,-0.597277823,0.661
Cdc2l1,-0.20756107,0.866
Dibd1,-0.430508908,0.742
En2,-0.246395464,0.843
Nfil3,-0.360304767,0.779
Dcbld1,-0.401634795,0.757
Rb1cc1,-0.209227962,0.865
Gpatc1,-0.199255376,0.871
Csnk2a1,-0.428565884,0.743
Rtn2,-0.179514657,0.883
Rabgef1,-0.281035664,0.823
Zfp260,-0.18606493,0.879
Rsu1,-0.251538767,0.84
Klf7,-0.401634795,0.757
Zmat5,-0.227692025,0.854
Gosr2,-0.64385619,0.64
Dhrs4,-0.241270432,0.846
Gng13,-0.349235441,0.785
Nudc,-0.229382353,0.853
Ggps1,-0.384583703,0.766
Ggps1,-0.260151897,0.835
Tuba8,-0.573466862,0.672
2610200G18Rik,-0.365871442,0.776
1600012F09Rik,-0.397828209,0.759
Sgcb,-0.345564459,0.787
Nxph3,-0.321928095,0.8
Abcb1a,-0.430508908,0.742
Csf1r,-0.354759487,0.782
Trim25,-0.395928676,0.76
Strap,-0.242976753,0.845
Myh9,-0.274040765,0.827
Myh9,-0.330973234,0.795
Cnnm1,-0.575615328,0.671
Ramp3,-0.314732593,0.804
Atp2b2,-0.473931188,0.72
Th,-0.816037165,0.568
2310008H09Rik,-0.268816758,0.83
4933439F18Rik,-0.678071905,0.625
Thpok,-0.345564459,0.787
Doc2b,-0.550042516,0.683
4930570C03Rik,-0.496142467,0.709
Crnkl1,-0.281035664,0.823
Sgk3,-0.422752464,0.746
St6gal1,-0.461958547,0.726
Znrf1,-0.365871442,0.776
Trpc1,-0.177881725,0.884
Terf2,-0.23786383,0.848
3300001H21Rik,-0.567040593,0.675
Slc4a4,-0.60823228,0.656
Akt2,-0.217591435,0.86
Ptpn4,-0.60823228,0.656
Myo7a,-0.529072743,0.693
Elac1,-0.416962376,0.749
Lrp8,-0.59946207,0.66
Sp4,-1.049904906,0.483
Creb1,-0.514573173,0.7
St8sia5,-0.246395464,0.843
Stat2,-0.356605547,0.781
Asgr1,-0.457989644,0.728
Mrps34,-0.161653263,0.894
Itga3,-0.514573173,0.7
Itgb1bp1,-0.182786076,0.881
Clstn2,-0.749038426,0.595
Kctd1,-0.373327247,0.772
Ephx1,-0.327348371,0.797
Ppt1,-0.192645078,0.875
Pex13,-0.226003675,0.855
Pde4b,-0.145605322,0.904
Acsl1,-0.388355457,0.764
Casq2,-0.375197235,0.771
Ptprm,-0.300448367,0.812
