Gene name,Log2(Fold expression) (ATXN1[82Q] vs. WT),Fold Expression (ATXN1[82Q] vs. WT)
1110015O18Rik,-1.403244206,0.378077996
1500015O10Rik,-0.559809945,0.678391526
1700001L19Rik,-0.977747395,0.50777195
1810041L15Rik,-0.396886537,0.759495575
2010204K13Rik,-1.472390039,0.360384773
2310003H01Rik,-0.487530851,0.71324476
2310015B20Rik,0.922927587,1.895958764
2410004P03Rik,-0.882252067,0.542519889
2410124H12Rik,-1.86540103,0.274446904
2610203C20Rik,-0.457483315,0.728255544
2700070H01Rik,0.766933357,1.701648852
2900052N01Rik,-1.314989047,0.401928547
4930447C04Rik,-1.554338318,0.340484654
4930503E14Rik,-1.477634031,0.359077203
4930529M08Rik,-1.613330674,0.326842914
4930539E08Rik,-2.563679891,0.169143555
4932411E22Rik,-1.959898599,0.257046523
6030419C18Rik,-0.344790086,0.787422539
6330403K07Rik,-0.908864946,0.532603958
6430573F11Rik,0.34037564,1.266086207
9630028H03Rik,-1.297947654,0.406704355
A330050F15Rik,-0.318850018,0.801708671
A330074K22Rik,-0.44160767,0.736313639
A730017C20Rik,-1.039234079,0.486585732
A730090H04Rik,-0.63431047,0.644248657
A830018L16Rik,-0.464745597,0.724598841
AI854517,-0.400636417,0.757524042
AK129341,-0.724201486,0.605331996
Ablim2,-0.313912348,0.804457245
Abr,-0.290668681,0.817523053
Acan,-0.809520869,0.570571318
Ace,-0.441852921,0.73618848
Acot5,-1.570275317,0.336744125
Adam23,-0.462276439,0.725840046
Adamts18,0.407551568,1.326432782
Adamts20,-0.581896644,0.6680849
Adamts3,-0.315956569,0.80331818
Adamtsl2,-0.76699538,0.587640046
Adcyap1,-1.886498211,0.270462745
Adprhl1,-1.540062529,0.34387055
Adra2b,-1.610644114,0.327452122
Adrb1,-0.852662686,0.553761751
Afap1l2,0.308994195,1.238843713
Agfg2,-0.41778494,0.748573073
Ajap1,-0.434048142,0.740181949
Ak4,0.403375663,1.322598951
Ak7,-0.906619957,0.533433392
Akap2,-0.406019593,0.754702735
Alk,-0.93264417,0.523897263
Amz1,-0.669418635,0.628760009
Ankrd33b,-0.500190046,0.70701364
Ankrd34c,-2.360928896,0.194665767
Anks1b,-0.448805295,0.732649308
Aqp1,-0.798154258,0.575084453
Arhgap20,-0.51428188,0.70014135
Arhgap31,-0.2748713,0.826524048
Arhgap32,-0.277444791,0.825051002
Arhgap36,-2.860693352,0.137671959
Arhgap5,-0.305224951,0.809316015
Arhgap6,-0.87591394,0.54490856
Arhgdig,-0.788586401,0.57891105
Arhgef33,-0.898035633,0.536616889
Arid5a,0.378650988,1.300125586
Armc3,-0.95583019,0.515544837
Arntl,0.308033111,1.238018704
Asah2,-0.434125465,0.740142279
Asb4,-1.491933988,0.35553562
Asic4,-2.710348699,0.1527931
Atf3,1.054977145,2.077685292
Atl2,-0.624443529,0.648669932
Atp2a3,-0.802359081,0.573410775
B230209E15Rik,-1.897352417,0.268435537
B3gat1,-0.409598961,0.752832616
B3gnt2,-0.473558942,0.720185799
B3gnt5,-0.42335578,0.745688098
Baiap2,-0.287082313,0.819557846
Baiap3,-3.822786415,0.070668622
Basp1,-1.261674748,0.417059536
Bcar1,-0.587433828,0.665525649
Bcl11b,-0.94161125,0.520651075
Bcl2,-0.353620214,0.782617777
Bcl6,0.700522655,1.62509342
Bdnf,0.365507694,1.288334923
Bean1,-0.646405611,0.638870039
Begain,-0.499570874,0.70731714
Bmf,0.375084074,1.296915131
Brpf3,0.311419261,1.240927871
C130021I20Rik,-1.743138544,0.298719113
C1ql4,#NUM!,0
C3,-0.981828758,0.5063375
Cacna1c,0.356607481,1.280411448
Cacna1g,-0.652486175,0.636183043
Cacna1h,-0.68403908,0.622420257
Cacna1i,0.401838957,1.321190917
Cacna2d2,-0.301994885,0.811130031
Cacnb2,-0.545705368,0.68505638
Calb1,-0.651535524,0.636602389
Calca,-1.671028407,0.314029412
Calcr,-1.398017706,0.379450156
Camk2a,-0.816483352,0.56782436
Camkv,-1.637934131,0.321316254
Car12,-0.449464936,0.732314397
Car4,0.403788423,1.322977406
Car8,-0.765611557,0.588203976
Cartpt,-3.997789426,0.062595839
Casp3,0.708872286,1.634525955
Cast,-0.467687833,0.723122598
Cbln2,-4.978429792,0.031720739
Cbln4,-2.119547065,0.230119147
Ccdc108,-1.416764659,0.374551328
Ccdc135,-0.906599188,0.533441071
Ccdc153,-0.98712173,0.504483248
Ccdc170,-1.620085102,0.325316273
Ccdc50,-0.324448241,0.798603754
Ccdc85a,-0.407625406,0.753863169
Cck,-1.096549033,0.467633752
Cckbr,-0.859216657,0.551251791
Ccl3,1.827442209,3.549072902
Ccnd1,0.372052103,1.294192393
Ccng2,0.286241449,1.219459165
