gene,82QvsWT_baseMean,82QvsWT_log2FoldChange,82QvsWT_lfcSE,82QvsWT_stat,82QvsWT_pvalue,82QvsWT_padj,591vsWT_baseMean,591vsWT_log2FoldChange,591vsWT_lfcSE,591vsWT_stat,591vsWT_pvalue,591vsWT_padj,591vs82Q_baseMean,591vs82Q_log2FoldChange,591vs82Q_lfcSE,591vs82Q_stat,591vs82Q_pvalue,591vs82Q_padj
Aqp4,20622.716314584,0.578278549835697,0.0538913606526448,10.7304499799694,7.32386612314827e-27,7.44003779268787e-25,20622.716314584,0.107899468600928,0.0539561400957562,1.9997625554652,0.045525909704947,0.380880953113208,20622.716314584,-0.47037908123477,0.0538708234000697,-8.73161113097376,2.51070162916443e-18,3.81450458044982e-16
Aqp6,1365.21394108402,-0.419049096504788,0.0711546364456049,-5.88927324258253,3.87897642331418e-09,7.34885179619523e-08,1365.21394108402,-0.0703985412266836,0.0707144075737769,-0.995533210869882,0.319477000100555,0.758448929266639,1365.21394108402,0.348650555278105,0.0712142172210273,4.89579986810779,9.79066686674637e-07,1.68061793986172e-05
Asic2,2337.20646921761,0.196004568432523,0.0522087767656139,3.75424556128686,0.000173864353139981,0.00117478069805134,2337.20646921761,-0.0197047916206846,0.0525318624047255,-0.375101713867887,0.707584822457547,0.932386918986778,2337.20646921761,-0.215709360053207,0.0521987989652899,-4.13245830036522,3.58903894603104e-05,0.000374245361500648
Cacna1a,18605.3484587883,-0.301158863787254,0.0526758728360817,-5.71720690275809,1.08289233755409e-08,1.91988013626941e-07,18605.3484587883,-0.0478646898592196,0.0526476510975083,-0.909151478962848,0.363270172241813,0.787507613493125,18605.3484587883,0.253294173928034,0.0526787190425589,4.80828270944475,1.52232377588264e-06,2.46647781087814e-05
Cacna1b,2777.76753522605,-0.167374881055378,0.0509672758907015,-3.28396756801974,0.00102356700564886,0.00535917369426815,2777.76753522605,0.0233167700481063,0.0508412253978488,0.458619355958578,0.64650753442605,0.914175100264623,2777.76753522605,0.190691651103485,0.0509165133967821,3.74518281755593,0.000180262460900806,0.00147340529627275
Cacna1g,10036.6634654823,-1.23570309254521,0.0915876076341059,-13.492033741965,1.74227341697905e-41,4.46324998819156e-39,10036.6634654823,-0.341954531930312,0.0914224399034886,-3.74037853607169,0.000183743324193059,0.0105008937826284,10036.6634654823,0.893748560614895,0.0916293585956163,9.75395412903888,1.77419953049497e-22,4.95631223680209e-20
Chrna4,230.422899856645,0.693680304584557,0.171070497737801,4.05493824918752,5.01475486303161e-05,0.000398972115149528,230.422899856645,0.00533742448483488,0.173657587875822,0.0307353369934605,0.975480609621004,0.995783129437994,230.422899856645,-0.688342880099722,0.170922849546489,-4.0272139267869,5.64416754904442e-05,0.000548580145619805
Chrnb2,5000.35220793128,-0.2980614305988,0.0391474711654361,-7.61381059172893,2.66130717688457e-14,9.71926976417598e-13,5000.35220793128,-0.0212647627518747,0.0389887997230708,-0.545406960535175,0.585473654263765,0.892722456662495,5000.35220793128,0.276796667846926,0.0391429931093184,7.07142315545184,1.53352718348512e-12,1.06242763271849e-10
Gabra1,36739.5538976854,-0.343040241300812,0.0492470583900701,-6.96570013550253,3.26774511160368e-12,9.34638553280042e-11,36739.5538976854,-0.108587236863057,0.0492331464075847,-2.20557174965214,0.0274139989155693,0.305656340613294,36739.5538976854,0.234453004437756,0.0492532269039937,4.76015520556167,1.93444142530786e-06,3.04033806591035e-05
Gabra3,1082.08477265349,0.327607340545203,0.0685830434104708,4.77679794092057,1.78108581723438e-06,2.05633395855225e-05,1082.08477265349,-0.00677694420504562,0.0693265705992086,-0.097753922435087,0.922127696640999,0.985719934697673,1082.08477265349,-0.334384284750249,0.0685383933888964,-4.87878790582244,1.06739768888577e-06,1.81961889483283e-05
Gabra5,42.5129999277426,1.71816891706393,0.387714545359982,4.43153071667369,9.35664807979689e-06,9.12737921956346e-05,42.5129999277426,0.269891744861315,0.400072872568072,0.674606461390088,0.499925826753234,0.856372031570753,42.5129999277426,-1.44827717220262,0.383268764051399,-3.77875086112781,0.000157617018653041,0.00132005164300586
Gabra6,45326.7822706079,-0.504276158809521,0.0669618013234143,-7.53080336614531,5.04290819978197e-14,1.78276890678692e-12,45326.7822706079,-0.0390771498612038,0.0669416617504719,-0.583749324999813,0.559388976467917,0.884941700304955,45326.7822706079,0.465199008948318,0.0669622995611977,6.94717791946745,3.72665598749498e-12,2.34711569830593e-10
Gabrb2,21681.0741953394,-0.36059317569129,0.0603968056605108,-5.97040144338389,2.36670516918927e-09,4.63276639762897e-08,21681.0741953394,-0.0702064305471429,0.0603711839966341,-1.1629129312928,0.244864830297747,0.698738673361709,21681.0741953394,0.290386745144147,0.0604012510371039,4.80762799044949,1.52731635746182e-06,2.47225414123727e-05
Gabrb3,6810.6554819342,-0.248267443123787,0.0581416774620604,-4.27004266063343,1.95435581899561e-05,0.000173593936967671,6810.6554819342,0.0333438343998209,0.0580624476029854,0.5742753841143,0.565781463968126,0.886575160221358,6810.6554819342,0.281611277523608,0.0581203249811857,4.84531491547525,1.26411008524847e-06,2.10928580698492e-05
Gja1,12196.7188008338,0.521364837843459,0.0491984578321283,10.5971784648703,3.07106039919893e-26,3.01578131201335e-24,12196.7188008338,0.0631471073648062,0.0493167455437543,1.28043946672802,0.200390621186897,0.65980858803623,12196.7188008338,-0.458217730478653,0.0491732420031651,-9.31843644657716,1.18067293415765e-20,2.72656736261474e-18
Gjb1,944.819089230794,0.352068916402024,0.0976162079210336,3.60666454782621,0.000310158204528076,0.00193481146800164,944.819089230794,0.0455010850143364,0.0981691564594075,0.463496750460017,0.64300834354026,0.913013375746432,944.819089230794,-0.306567831387687,0.0974898543878025,-3.14461267085494,0.00166306856969187,0.00922329414891552
Gjb2,645.39142441552,0.571892482932197,0.0986391705245209,5.79782331796909,6.7181174735232e-09,1.22801907406407e-07,645.39142441552,0.19106183221157,0.0995666791812993,1.91893346029617,0.0549927553717217,0.413958609379534,645.39142441552,-0.380830650720627,0.0980665609245985,-3.88338947680077,0.000103010366343677,0.000911670692423347
Gjb6,3957.01456267424,0.451181936832482,0.0712070775726593,6.3361951116741,2.35508522518944e-10,5.35070519800109e-09,3957.01456267424,0.0108589502001896,0.0714530586059868,0.151973203275581,0.87920807081863,0.975163127812979,3957.01456267424,-0.440322986632293,0.0711845927543639,-6.18565014695963,6.18470355664832e-10,2.31358673004641e-08
Glrb,10741.0839836145,-0.23765882620117,0.0423923488303814,-5.60617264101315,2.06849643652274e-08,3.50890048099577e-07,10741.0839836145,-0.0733778473259567,0.0423608919185642,-1.73220732620598,0.0832366550972538,0.489612345923034,10741.0839836145,0.164280978875213,0.0424064436081556,3.87396265513807,0.000107079828771055,0.000941910936675809
Gria1,24732.435624401,-0.232700350397697,0.0489959552919932,-4.74937878057302,2.04042456861814e-06,2.32537360895514e-05,24732.435624401,-0.0365000651788774,0.0489803089973211,-0.745198752847267,0.456151576705498,0.835224164531982,24732.435624401,0.19620028521882,0.0489969739185575,4.00433474820185,6.21922474092732e-05,0.000596769930819176
Grid2,5781.8621421716,-0.961939169576541,0.0798888533644268,-12.0409685339767,2.16399926509626e-33,3.16122735618525e-31,5781.8621421716,-0.215695012100059,0.0796376528976302,-2.70845516224998,0.00675972453475264,0.140737863617357,5781.8621421716,0.746244157476482,0.0799398225004669,9.33507398608651,1.00920741658773e-20,2.38757388776284e-18
Grin2c,13760.8690220032,-0.191722173215229,0.0510247707558596,-3.75743330886424,0.000171665097135493,0.00116258707163486,13760.8690220032,-0.00369668603299135,0.0509997130381915,-0.0724844477109716,0.942216381839481,0.990297914630982,13760.8690220032,0.188025487182238,0.0510199647013475,3.68533158113439,0.000228405081222294,0.00179165580016763
Grin2d,829.974909654051,0.350622369131085,0.0887835841511813,3.94918016076084,7.84193150894283e-05,0.000587596360119006,829.974909654051,0.049832384714349,0.0894640414679773,0.557010212110594,0.57752045193489,0.889598286721182,829.974909654051,-0.300789984416736,0.0886162440926837,-3.39429850019529,0.000688046523073403,0.00448849935202687
Hcn3,609.724437733879,0.392573649672142,0.0729425143833961,5.381959382545,7.36793925617765e-08,1.14141712788954e-06,609.724437733879,0.16047981266811,0.0738420024784279,2.17328630429534,0.0297587756341809,0.317757092928969,609.724437733879,-0.232093837004032,0.0722683391424246,-3.21155626043416,0.00132018117898563,0.00764989562396491
Kcnc1,27581.6253630482,-0.462220173823495,0.0550212211123127,-8.40076182387852,4.43591309444681e-17,2.15409889718247e-15,27581.6253630482,0.0416046973116249,0.0549776223678413,0.756756940728692,0.449195494249453,0.831066580688624,27581.6253630482,0.50382487113512,0.055015154748664,9.1579288186471,5.2902892600586e-20,1.07905386138942e-17
Kcnc2,378.847129226004,0.92013562369578,0.285820040331159,3.21928309375957,0.00128511544455368,0.00652000591215009,378.847129226004,0.00630609987303434,0.287052784283616,0.0219684330488979,0.982473136235868,0.99774034468385,378.847129226004,-0.913829523822745,0.285760368789515,-3.19788754365674,0.00138438255419674,0.00795010140540037
Kcnc3,36200.6444297061,-0.782149551074714,0.0638655691090373,-12.2468109497209,1.747327188849e-34,2.78250048559414e-32,36200.6444297061,-0.189339669450598,0.0638283005044219,-2.9663905815177,0.0030131755717647,0.0827509462471411,36200.6444297061,0.592809881624116,0.0638745520963299,9.28084600468263,1.68138159798234e-20,3.64019115963176e-18
