gene,82QvsWT_log2FoldChange,82QvsWT_padj,591vsWT_log2FoldChange,591vsWT_padj,591vs82Q_log2FoldChange,591vs82Q_padj
Aqp4,0.578278549835697,7.44003779268787e-25,0.107899468600928,0.380880953113208,-0.47037908123477,3.81450458044982e-16
Asic2,0.196004568432523,0.00117478069805134,-0.0197047916206846,0.932386918986778,-0.215709360053207,0.000374245361500648
Chrna4,0.693680304584557,0.000398972115149528,0.00533742448483488,0.995783129437994,-0.688342880099722,0.000548580145619805
Gabra3,0.327607340545203,2.05633395855225e-05,-0.00677694420504562,0.985719934697673,-0.334384284750249,1.81961889483283e-05
Gabra5,1.71816891706393,9.12737921956346e-05,0.269891744861315,0.856372031570753,-1.44827717220262,0.00132005164300586
Gja1,0.521364837843459,3.01578131201335e-24,0.0631471073648062,0.65980858803623,-0.458217730478653,2.72656736261474e-18
Gjb1,0.352068916402024,0.00193481146800164,0.0455010850143364,0.913013375746432,-0.306567831387687,0.00922329414891552
Gjb2,0.571892482932197,1.22801907406407e-07,0.19106183221157,0.413958609379534,-0.380830650720627,0.000911670692423347
Gjb6,0.451181936832482,5.35070519800109e-09,0.0108589502001896,0.975163127812979,-0.440322986632293,2.31358673004641e-08
Grin2d,0.350622369131085,0.000587596360119006,0.049832384714349,0.889598286721182,-0.300789984416736,0.00448849935202687
Hcn3,0.392573649672142,1.14141712788954e-06,0.16047981266811,0.317757092928969,-0.232093837004032,0.00764989562396491
Kcnc2,0.92013562369578,0.00652000591215009,0.00630609987303434,0.99774034468385,-0.913829523822745,0.00795010140540037
Kcnj2,0.561390662516464,8.88898635589857e-05,-0.100461354684699,0.826291199797818,-0.661852017201163,3.93533425376534e-06
Kcnk6,0.69582202108417,0.000126635776276642,-0.0342239319890208,0.963468025852394,-0.730045953073191,7.0880359695699e-05
Kcnn2,0.29391821883512,7.08322508633572e-06,0.0456622533142692,0.826135870275447,-0.248255965520851,0.000248203056981699
Kcns1,0.631322605722228,0.00282355719364421,0.029749791557892,0.974022884531329,-0.601572814164336,0.00523793673566068
Kcns3,1.08662017963143,1.31951035816298e-09,0.325714927296373,0.424321270111574,-0.760905252335053,3.44841834120742e-05
Pkd2l1,0.64492789892293,7.51083399324894e-07,0.0794561515855283,0.863405436467124,-0.565471747337402,2.28562541684546e-05
Scn3a,0.5642998767893,0.000290369656357528,-0.0112274642970773,0.98860856793369,-0.575527341086378,0.000261817877707711
Trpm6,0.673075498490347,0.00907760903772905,-0.0228492759619412,0.98548890529006,-0.695924774452288,0.00762878679336164
