Gene name,Log2(Fold expression) (Atxn1-154Q vs. WT),Fold Expression (Atxn1-154Q vs. WT)
Oprk1,-1.80663,0.285859211
St18,0.336231,1.262456102
Kcnb2,0.747733,1.679159561
Tfap2d,-6.50027,0.011046448
Amer3,0.335182,1.261534096
Il1r1,0.636918,1.555000966
Stat1,0.367786,1.290371502
Plcl1,-0.354956,0.781893335
Zdbf2,-0.503453,0.705414557
Vwc2l,-2.11031,0.231597562
Asic4,-2.59758,0.16521516
Nyap2,0.515431,1.429421645
Mlph,-0.61059,0.654929673
Cntnap5b,-0.387782,0.764301884
Serpinb2,1.77977,3.433715068
Serpinb8,0.763473,1.697572329
Cdh7,0.411212,1.329800179
Cntnap5a,-1.16665,0.445453959
Thsd7b,-1.39192,0.381055719
Chil1,-0.757376,0.591571772
Phlda3,-0.845834,0.556389787
Tnnt2,-2.05567,0.240535846
Kcnt2,-1.21837,0.429768417
Brinp3,0.460143,1.375681282
Shcbp1l,-1.03783,0.487059832
Rgs8,-0.615403,0.652750234
Rgs16,-0.4809,0.716531506
Ankrd45,-0.356874,0.7808548
Myoc,-2.00829,0.248567687
Creg1,-0.397293,0.759279872
Ildr2,-0.685369,0.621846931
Rxrg,-0.938645,0.521722492
Kcnj10,-0.298845,0.812903589
Cnih3,-1.79039,0.289094109
Kcnh1,0.304301,1.234820274
Plxna2,0.350749,1.275225386
"A330023F24Rik,Mir29b-2,Mir29c",-0.712079,0.610442307
Sntg1,-0.538012,0.688717566
Jph1,0.329711,1.256761014
Kcnq5,-1.24674,0.421400793
Fam135a,0.328214,1.255456624
Col19a1,0.605639,1.521655069
Rnf149,0.849017,1.801271119
Creg2,-0.773609,0.584952446
Stk17b,-0.365763,0.776059438
"Cryga,D630023F18Rik",-1.24405,0.422187375
Lancl1,-0.297885,0.813442098
Igfbp5,-1.30186,0.405605683
Resp18,-1.44711,0.36675518
Mogat1,-3.44601,0.091758803
Scg2,-0.74518,0.59659379
Serpine2,-0.330465,0.795280977
Dock10,-0.39578,0.760079153
Dner,-0.333764,0.793466205
Slc16a14,0.538775,1.452738836
Ecel1,-2.16604,0.222821001
Ngef,-1.54789,0.342009596
Pam,-0.593256,0.662847847
Cdk18,-0.597812,0.660755343
Optc,-1.03181,0.489095156
Btg2,0.402224,1.32154397
Lgr6,0.41804,1.336114172
Lhx9,-3.64354,0.080017238
Cacna1e,0.319794,1.248152096
Fam163a,-0.855476,0.552682994
Rgs4,-0.726238,0.604480305
Pcp4l1,-0.411328,0.751930958
Ifi203,1.29767,2.458310179
Mndal,1.94584,3.85263992
Grem2,-1.80203,0.286770755
6330403A02Rik,-0.66488,0.630741131
Ccdc121,-1.05666,0.480742293
Prox1,0.428349,1.345698288
Ppp1r14c,0.386807,1.307495937
Oprm1,-3.2835,0.102699807
Nmbr,-1.1279,0.457580753
Map3k5,0.564355,1.478728381
Ahi1,-0.514367,0.700099066
Cd24a,-0.611957,0.654308846
Gja1,-0.38911,0.763600096
Pkib,0.487544,1.402049513
Pcbd1,-0.639466,0.641950893
Slc1a6,-0.28887,0.818543085
Matk,-0.481636,0.716165481
1500009L16Rik,-0.592731,0.66308648
Mgat4c,-0.842976,0.557493439
Slc6a15,0.388692,1.309202851
Kcnc2,-2.21347,0.215614907
Fam19a2,-1.99624,0.250652741
Ipcef1,0.474986,1.389904864
Cnksr3,0.331031,1.257907141
Ust,0.316159,1.245010935
Samd5,-0.608237,0.655997299
Slc35d3,-1.49895,0.353809945
Pde7b,-0.371594,0.772928248
Tmem200a,-0.620778,0.650318664
Tpd52l1,-0.805497,0.572164695
Nkain2,-0.527153,0.693922615
Clvs2,-0.545543,0.685133489
Marcks,0.740017,1.670196666
Sobp,0.332453,1.259152048
Grik2,0.381973,1.30312307
Tet1,0.386094,1.3068513
Susd2,-1.26616,0.415764805
Col18a1,-0.618519,0.651337238
"Mir135a-2,Rmst",-0.756748,0.591829293
Tmtc2,0.351017,1.275459233
Trhde,0.590556,1.50582567
Nxph4,-0.460343,0.726814031
Nab2,-0.522662,0.696087917
Erbb3,-0.46575,0.724096979
Gal3st1,-0.678424,0.62484666
Zmat5,-0.45212,0.730967922
Vwc2,-0.988203,0.504104564
Vstm2a,-0.688228,0.620613066
Bcl11a,-0.533659,0.690800532
Nsg2,-0.880619,0.543134562
"Hba-a1,Hba-a2",-0.408602,0.753353228
"Hba-a1,Hba-a2",-0.534332,0.690478866
Sh3pxd2b,-0.348414,0.785448005
Slit3,0.618662,1.535453608
Ccnjl,0.4346,1.351536148
Ebf1,0.34987,1.274447236
P4ha2,-0.585769,0.666292539
Gpx3,-0.758932,0.59093288
Trpv2,0.405217,1.324288805
Kcnab3,-0.561799,0.67746034
Chd3os,-0.304902,0.809496087
Atp2a3,-0.326189,0.797640407
Camkk1,-0.472994,0.720467702
P2rx5,-1.06351,0.478467393
"Mir22,Mir22hg",-0.864254,0.549328754
Slc6a4,-4.08671,0.058854555
Spag5,-0.757256,0.591620708
Aldoc,-0.635602,0.643672447
Rhbdl3,-0.759476,0.590710977
Fam117a,-0.611708,0.654420947
Hoxb8,-2.70733,0.153112938
Hoxb6,-3.424,0.093169417
Hoxb5,-2.3656,0.194036141
Hoxb3,-1.63066,0.322940751
Ppp1r1b,-0.391353,0.762414559
Tcap,-2.09065,0.234775044
Rnd2,-0.450488,0.731795559
Asb16,-1.99153,0.251472046
Rprml,-1.68468,0.31107179
Crhr1,-0.569546,0.673829434
Tanc2,-0.392836,0.76163119
Kcnh6,-0.74981,0.594682079
Kcnj16,-0.335821,0.792337642
Kcnj2,-1.06023,0.479552827
43352,-0.498933,0.707630752
Bahcc1,0.344473,1.269686352
Ddc,-0.620252,0.650556147
