Gene name,Log2(Fold expression) (Atxn1-154Q vs. WT)_Lim,Fold Expression (Atxn1-154Q vs. WT)_Lim,Log2(Fold expression) (Atxn1-154Q vs. WT)_Orr,Fold Expression (Atxn1-154Q vs. WT)_Orr
Oprk1,-1.80663,0.285859211,,
St18,0.336231,1.262456102,,
Kcnb2,0.747733,1.6791595609999999,0.7414693090000001,1.6718776919999998
Tfap2d,-6.5002699999999995,0.011046448,,
Amer3,0.33518200000000004,1.2615340959999999,,
Il1r1,0.636918,1.555000966,,
Stat1,0.367786,1.290371502,,
Plcl1,-0.354956,0.781893335,,
Zdbf2,-0.5034529999999999,0.705414557,,
Vwc2l,-2.1103099999999997,0.23159756199999998,,
Asic4,-2.59758,0.16521516,,
Nyap2,0.5154310000000001,1.429421645,,
Mlph,-0.61059,0.6549296729999999,-0.945760767,0.519155716
Cntnap5b,-0.387782,0.7643018840000001,,
Serpinb2,1.77977,3.433715068,0.991473233,1.988214254
Serpinb8,0.763473,1.697572329,,
Cdh7,0.41121199999999997,1.329800179,,
Cntnap5a,-1.16665,0.445453959,,
Thsd7b,-1.39192,0.38105571899999996,,
Chil1,-0.757376,0.591571772,,
Phlda3,-0.845834,0.5563897870000001,,
Tnnt2,-2.05567,0.24053584600000003,,
Kcnt2,-1.2183700000000002,0.429768417,,
Brinp3,0.460143,1.375681282,0.452898609,1.368787612
Shcbp1l,-1.03783,0.487059832,-0.53724473,0.6890856740000001
Rgs8,-0.6154029999999999,0.652750234,-0.9036275429999999,0.534540979
Rgs16,-0.4809,0.7165315059999999,-0.445982679,0.7340841309999999
Ankrd45,-0.35687399999999997,0.7808548000000001,,
Myoc,-2.00829,0.24856768699999998,,
Creg1,-0.397293,0.759279872,-0.618406667,0.651389935
Ildr2,-0.685369,0.621846931,,
Rxrg,-0.9386450000000001,0.521722492,,
Kcnj10,-0.29884499999999997,0.812903589,,
Cnih3,-1.7903900000000001,0.289094109,,
Kcnh1,0.30430100000000004,1.234820274,,
Plxna2,0.350749,1.275225386,,
"A330023F24Rik,Mir29b-2,Mir29c",-0.712079,0.610442307,,
Sntg1,-0.5380119999999999,0.6887175659999999,,
Jph1,0.32971100000000003,1.256761014,,
Kcnq5,-1.24674,0.421400793,,
Fam135a,0.328214,1.255456624,,
Col19a1,0.605639,1.5216550690000001,,
Rnf149,0.849017,1.8012711190000001,,
Creg2,-0.773609,0.5849524460000001,,
Stk17b,-0.365763,0.776059438,-0.7339823259999999,0.60124199
"Cryga,D630023F18Rik",-1.24405,0.422187375,,
Lancl1,-0.297885,0.813442098,,
Igfbp5,-1.30186,0.405605683,-0.8168416559999999,0.567683354
Resp18,-1.4471100000000001,0.36675518,,
Mogat1,-3.44601,0.09175880300000001,,
Scg2,-0.7451800000000001,0.59659379,,
Serpine2,-0.330465,0.795280977,,
Dock10,-0.39578,0.760079153,,
Dner,-0.333764,0.793466205,-0.589643593,0.6645070479999999
Slc16a14,0.538775,1.452738836,,
Ecel1,-2.16604,0.22282100100000002,,
Ngef,-1.54789,0.342009596,,
Pam,-0.593256,0.662847847,,
Cdk18,-0.597812,0.6607553429999999,,
Optc,-1.0318100000000001,0.48909515600000003,,
Btg2,0.40222399999999997,1.32154397,,
Lgr6,0.41803999999999997,1.336114172,,
Lhx9,-3.6435400000000002,0.080017238,,
Cacna1e,0.319794,1.2481520959999999,,
Fam163a,-0.855476,0.552682994,,
Rgs4,-0.726238,0.604480305,,
Pcp4l1,-0.41132799999999997,0.751930958,,
Ifi203,1.29767,2.458310179,0.824408765,1.770809189
Mndal,1.9458400000000002,3.85263992,0.916844661,1.8879815430000002
Grem2,-1.80203,0.286770755,,
6330403A02Rik,-0.66488,0.6307411310000001,,
Ccdc121,-1.05666,0.480742293,,
Prox1,0.428349,1.3456982880000001,,
Ppp1r14c,0.386807,1.307495937,,
Oprm1,-3.2835,0.10269980699999999,,
Nmbr,-1.1279,0.45758075299999995,,
Map3k5,0.564355,1.478728381,,
Ahi1,-0.514367,0.7000990659999999,,
Cd24a,-0.611957,0.654308846,,
Gja1,-0.38911,0.7636000959999999,,
Pkib,0.487544,1.4020495130000001,,
Pcbd1,-0.639466,0.641950893,,
Slc1a6,-0.28886999999999996,0.818543085,-0.5711996220000001,0.6730568990000001
Matk,-0.48163599999999995,0.716165481,,
1500009L16Rik,-0.592731,0.66308648,,
Mgat4c,-0.8429760000000001,0.557493439,,
Slc6a15,0.388692,1.309202851,,
Kcnc2,-2.21347,0.215614907,,
Fam19a2,-1.9962400000000002,0.250652741,,
Ipcef1,0.47498599999999996,1.389904864,,
Cnksr3,0.331031,1.257907141,,
Ust,0.316159,1.245010935,,
Samd5,-0.608237,0.655997299,,
Slc35d3,-1.49895,0.353809945,,
Pde7b,-0.371594,0.7729282479999999,,
Tmem200a,-0.6207779999999999,0.6503186639999999,,
Tpd52l1,-0.805497,0.572164695,,
Nkain2,-0.527153,0.693922615,,
Clvs2,-0.545543,0.685133489,,
Marcks,0.740017,1.6701966659999998,,
Sobp,0.332453,1.259152048,,
Grik2,0.381973,1.30312307,,
Tet1,0.386094,1.3068513000000002,,
Susd2,-1.26616,0.415764805,,
Col18a1,-0.6185189999999999,0.651337238,-0.88169241,0.542730386
"Mir135a-2,Rmst",-0.756748,0.591829293,,
Tmtc2,0.351017,1.275459233,,
Trhde,0.5905560000000001,1.50582567,,
Nxph4,-0.460343,0.726814031,,
Nab2,-0.522662,0.6960879170000001,-0.929057817,0.525201224
Erbb3,-0.46575,0.724096979,,
Gal3st1,-0.678424,0.62484666,,
Zmat5,-0.45211999999999997,0.730967922,,
Vwc2,-0.988203,0.504104564,,
Vstm2a,-0.688228,0.620613066,,
