,Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
0,Ube2g1,-0.229382353,0.853
1,Golph2,-0.270555993,0.8290000000000001
2,Gps1,-0.24297675300000002,0.845
3,Zranb1,-0.300448367,0.812
4,2310079P12Rik,-0.153606979,0.899
5,2510002A14Rik,-0.194294815,0.8740000000000001
6,Ganab,-0.239566125,0.847
7,Kitl,-1.13289427,0.456
8,Emb,-0.26015189699999997,0.835
9,MGI:1919030,-0.33825040000000006,0.7909999999999999
10,Mdk,-0.5043048370000001,0.705
11,Orc3l,-0.204233052,0.868
12,Anxa7,-0.270555993,0.8290000000000001
13,Prdx4,-0.236163541,0.8490000000000001
14,Serpinf1,-0.448114897,0.733
15,Napa,-0.18278607600000002,0.8809999999999999
16,Capn2,-0.20589610100000003,0.867
17,Plod1,-0.45600928,0.7290000000000001
18,Clpp,-0.33825040000000006,0.7909999999999999
19,Bckdha,-0.24810786199999998,0.8420000000000001
20,C430010P07Rik,-0.321928095,0.8
21,Kcnip1,-0.436353731,0.7390000000000001
22,Hspa5bp1,-0.36215794,0.778
23,D10Ertd214e,-0.30222618,0.8109999999999999
24,Numb,-0.277533976,0.825
25,Cog2,-0.436353731,0.7390000000000001
26,Por,-0.35845397100000004,0.78
27,Ptov1,-0.621488377,0.65
28,Hsd3b7,-0.793356776,0.5770000000000001
29,Stam2,-0.32915966399999996,0.7959999999999999
30,Efemp2,-0.380821784,0.768
31,Cul7,-0.397828209,0.759
32,Lcat,-0.190997225,0.8759999999999999
33,C1qb,-0.35475948700000004,0.782
34,Man1a,-0.5756153279999999,0.6709999999999999
35,2810052M02Rik,-0.320125852,0.8009999999999999
36,Polr2e,-0.340075442,0.79
37,Tubg1,-0.236163541,0.8490000000000001
38,Rnf26,-0.18278607600000002,0.8809999999999999
39,Crebl1,-0.380821784,0.768
40,Eng,-0.212567535,0.863
41,Stk19,-0.823677227,0.565
42,Sil1,-0.142417045,0.9059999999999999
43,Peli1,-0.22263289100000003,0.857
44,Sertad1,-0.41311518700000005,0.7509999999999999
45,Large,-0.267079618,0.831
46,Fbxo6b,-0.35291578700000004,0.7829999999999999
47,Il11ra1,-0.377069649,0.77
48,Trpc3,-0.5374241120000001,0.6890000000000001
49,Crlz1,-0.194294815,0.8740000000000001
50,Ptges2,-0.304006187,0.81
51,Slc15a2,-1.035046947,0.488
52,Drg2,-0.212567535,0.863
53,Wwtr1,-0.268816758,0.83
54,Fbxl15,-0.5374241120000001,0.6890000000000001
55,Tnfaip1,-0.19759996,0.872
56,Slc39a3,-0.35291578700000004,0.7829999999999999
57,Tce1,-0.209227962,0.865
58,Ppp1r7,-0.332789088,0.794
59,Pdlim4,-0.5374241120000001,0.6890000000000001
60,Nab2,-0.75389599,0.593
61,Igfbp6,-0.369594529,0.774
62,1810007M14Rik,-0.314732593,0.804
63,Narg1,-0.397828209,0.759
64,Hist1h2bc,-0.293358943,0.816
65,Stx8,-0.450084446,0.732
66,Plvap,-0.846843212,0.556
67,Rbl2,-0.332789088,0.794
68,Sp1,-0.34923544100000004,0.785
69,Ramp2,-0.64385619,0.64
