,Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
0,Vip,2.492786884,5.628641974
1,Fbxo5,0.40661606200000006,1.3255729440000001
2,Cnksr3,-0.281014532,0.823012055
3,Lats1,-0.17108947,0.888171713
4,Ust,-0.18937397,0.87698619
5,Sash1,-0.301085621,0.81164141
6,Stxbp5,-0.181724355,0.881648592
7,Grm1,-0.451471567,0.7312965359999999
8,Fbxo30,-0.288198739,0.8189238790000001
9,Phactr2,-0.18252159699999998,0.881161522
10,Hivep2,-0.242554978,0.8452470740000001
11,Ccdc28a,0.369506747,1.291911054
12,Nhsl1,-0.236267105,0.848939057
13,D10Bwg1379e,-0.325647682,0.79794008
14,Map3k5,-0.192804575,0.87490327
15,Pde7b,-0.43512457600000004,0.739629885
16,Ahi1,0.143781319,1.104797009
17,Sgk1,0.23428091399999998,1.176320275
18,Eya4,0.64699316,1.565901169
19,Epb4.1l2,0.19514671,1.144840575
20,Samd3,0.763937235,1.698118614
21,Lama2,-0.33696571,0.791704683
22,Ptprk,-0.148275301,0.902328525
23,Ncoa7,-0.209191367,0.865021942
24,Hddc2,0.332647413,1.259322171
25,Tpd52l1,0.39255017,1.3127117609999999
26,Rnf217,-0.181860507,0.8815653920000001
27,Slc16a10,0.39174041200000004,1.3119751659999999
28,Gtf3c6,0.268106043,1.204225893
29,Cdk19,-0.17175141,0.887764294
30,Wasf1,-0.607569814,0.656301296
31,Mical1,0.182849929,1.135124019
32,Foxo3,-0.36813622700000004,0.774782768
33,Sec63,-0.270647287,0.828947542
34,Sobp,-0.305012435,0.80943524
35,Pdss2,-0.15575265900000002,0.8976639359999999
36,1700021F05Rik,0.22987774,1.172735563
37,Cd24a,0.452086627,1.368017445
38,Popdc3,2.386481762,5.22880679
39,Hace1,-0.131995916,0.912568072
40,Grik2,-0.258168131,0.83614895
41,Ascc3,-0.142215252,0.906126733
42,Sim1,1.9833819869999998,3.95418943
43,Gopc,-0.191497505,0.8756962840000001
44,Nus1,-0.33872211,0.7907414140000001
45,Fam184a,0.150311053,1.109808727
46,Gcc2,-0.124835357,0.917108699
47,Ranbp2,-0.158811599,0.89576264
48,Mcu,-0.151881918,0.900075596
49,4632428N05Rik,0.329415351,1.256504076
50,Tbata,0.359050095,1.282581137
51,Eif4ebp2,-0.48907247200000004,0.712483016
52,Aifm2,0.24021442199999998,1.181168201
53,H2afy2,0.20291210699999998,1.1510193659999999
54,Tet1,-0.178827286,0.883420805
55,Rufy2,0.126065001,1.091313045
56,Sirt1,-0.153212458,0.899245875
57,Ctnna3,-0.40625333799999996,0.754580468
58,Gm10118,-0.245497078,0.8435251109999999
59,Lrrtm3,-0.146086961,0.903698253
60,Jmjd1c,-0.15050979,0.9009320540000001
61,Ado,-0.12178199,0.919051754
62,Rtkn2,0.35123026399999996,1.275647977
63,Arid5b,-0.321355909,0.80031735
64,Tmem26,1.582825065,2.995558618
65,Cdk1,0.582405388,1.497343672
66,Ank3,-0.428076535,0.743252061
67,Ccdc6,-0.222622693,0.857006058
68,Fam13c,-0.44068986200000004,0.736782213
69,Phyhipl,-0.336810261,0.791789993
70,Tfam,0.11279351300000001,1.081319987
71,Ube2d1,0.24338637300000002,1.183768008
72,Zwint,0.227119431,1.170495535
73,Gm15397,1.5129529240000001,2.8539358839999998
74,Gnaz,0.183123305,1.135339134
75,Bcr,-0.42646741899999996,0.7440815140000001
76,Susd2,0.7021102309999999,1.626882696
77,Ddt,0.23678661899999998,1.178365109
78,Gm20441,0.20497590300000001,1.1526670940000001
79,Gstt2,0.5217680339999999,1.4357136480000001
80,Chchd10,0.22482712600000002,1.168637205
81,Zfp280b,-0.169993311,0.888846802
82,Dip2a,-0.21671600600000002,0.860522007
83,Pcnt,-0.24875894199999998,0.841620096
84,Col6a1,0.37490791100000004,1.296756778
85,Col18a1,-1.337305903,0.395759009
86,Pofut2,0.18354421899999998,1.1356704229999999
87,Pttg1ip,0.162457749,1.11919215
88,Sumo3,0.172960922,1.127369875
89,D10Jhu81e,0.184958443,1.136784228
90,Rrp1,0.20855864899999998,1.15553315
91,Pdxk,-0.220229581,0.858428821
92,Slc1a6,-0.609637976,0.655361135
93,Shc2,0.226668373,1.170129637
94,Bsg,0.17189820100000003,1.126539735
95,Hcn2,-0.271263987,0.828593273
96,E130317F20Rik,0.288319796,1.221217185
97,Ptbp1,0.216919065,1.162248903
98,Wdr18,0.128704116,1.0933112059999999
99,Cnn2,0.466946155,1.382180619
100,Polr2e,0.27935880399999996,1.213655364
101,Midn,-0.336863011,0.7917610429999999
102,Cirbp,0.35045105200000004,1.274959175
103,Mum1,0.20615050199999999,1.153605943
104,Ndufs7,0.162221014,1.119008515
105,Rps15,0.157533497,1.1153786
106,Apc2,-0.409614772,0.7528243659999999
107,Mbd3,-0.346342802,0.786575523
108,Klf16,-0.36572849799999996,0.776076891
109,Izumo4,0.278710485,1.213110093
110,Dot1l,-0.34479165100000003,0.787421685
111,Lingo3,-0.45579114600000004,0.729110233
112,Gadd45b,0.402182758,1.321505801
113,Diras1,0.19532693899999998,1.144983604
114,Mfsd12,-0.266843051,0.831136275
115,Nfic,-0.389945298,0.76315854
116,Slc41a2,0.207117498,1.15437943
117,AI597468,-0.205122501,0.867465027
118,Cry1,-0.300951958,0.8117166109999999
119,Btbd11,-0.285435468,0.8204939109999999
120,Timp3,0.155826062,1.114059327
121,Hsp90b1,-0.23515605899999997,0.849593092
122,Gm15344,-0.449004829,0.732547985
123,Nt5dc3,-0.355261028,0.781728192
124,Igf1,0.320223689,1.248524117
125,Chpt1,-0.27191665800000003,0.828218505
126,Mybpc1,-2.18515873,0.219888075
127,Ano4,0.243274391,1.183676127
128,Uhrf1bp1l,-0.175626725,0.8853828140000001
129,Anks1b,-0.5933379529999999,0.662807598
130,Cdk17,-0.138760954,0.908298905
131,Fgd6,-0.23065795,0.8522461309999999
132,Tmcc3,-0.216753051,0.860499912
133,Plxnc1,-0.22906588,0.853187137
134,Atp2b1,-0.12018217099999999,0.9200714640000001
135,Kitl,-0.66286844,0.631621226
136,Cep290,-0.18071538199999998,0.882265403
137,Slc6a15,-0.15387927,0.8988303409999999
138,Tmtc2,-0.25512152899999996,0.8379165479999999
139,Ccdc59,0.203211993,1.151258648
140,Syt1,-0.26549175399999997,0.8319151220000001
141,Nap1l1,-0.265808433,0.8317325320000001
142,Tbc1d15,-0.627980709,0.64708148
143,Rab21,-0.21821126300000002,0.8596305959999999
144,Zfc3h1,-0.145023257,0.9043647990000001
145,Lgr5,-0.512265682,0.701120497
146,Ptprr,-0.508962393,0.702727668
147,Kcnmb4,-0.488194078,0.7129169470000001
148,Cct2,0.124924928,1.090450989
149,Frs2,-0.2627213,0.83351421
150,Yeats4,0.21217776800000002,1.158435539
151,Lyz2,0.393479198,1.313557357
152,Cpsf6,-0.26544174600000003,0.8319439590000001
153,Mdm2,0.164404333,1.1207032609999998
154,Slc35e3,-0.296023756,0.8144941509999999
155,Rap1b,-0.219699308,0.8587444
156,Cand1,-0.157302901,0.896699873
157,Lemd3,-0.23163332,0.851670143
158,BC048403,-0.445211112,0.7344768309999999
159,Srgap1,-0.819292605,0.566719754
160,Ppm1h,-0.350118995,0.784519387
161,Usp15,-0.20504358399999997,0.8675124790000001
162,Fam19a2,0.6196960810000001,1.536551456
163,Ctdsp2,-0.188251823,0.8776685870000001
164,Mettl1,0.26475378899999996,1.201430995
