Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
Grm4,-1.016761303,0.49422459
Dnah11,-1.757025719,0.295857481
Igfbp5,-1.316598296,0.401480467
Fstl5,0.935924947,1.913116788
Svep1,-1.423154116,0.37289617
Snrk,-0.8051368,0.57230781
Lrp1b,0.849553347,1.801942964
Gng13,-0.584958851,0.666668353
Plk5,-1.401484728,0.378539373
Necab1,1.081834793,2.116726384
Atxn2,0.990790963,1.987274223
Serpinb1a,-1.518375278,0.349078818
Stap2,-2.231780767,0.212895776
D8Ertd82e,-1.028943539,0.490068887
Kcnip4,-0.72174269,0.606364547
Il20rb,-1.720641017,0.303413879
Rorc,-1.781140924,0.290953212
Mdfi,-1.55077672,0.341326251
Drosha,-0.801936328,0.573578826
Gm15083,-2.204468966,0.216964518
Dusp5,-1.031533718,0.489189818
Nab2,-1.241858482,0.422827618
Btg1,-0.564077199,0.676387921
Pitpnm3,-0.800100029,0.574309357
Brinp3,0.752524316,1.684738078
AF529169,0.812677681,1.756468473
Irf7,1.692457795,3.232068546
Ppp1r1b,-0.531609833,0.691782377
Uchl1,0.548150241,1.462209714
Megf11,-0.683323205,0.622729183
Peak1,-0.672039092,0.627618989
Acy3,1.551546574,2.931312084
Pcp4,-0.487889141,0.71306765
Adrbk2,-0.504884779,0.704716657
Csmd3,0.680819511,1.603050096
Slc25a29,-0.912590444,0.531230379
Syt12,-0.509246707,0.702589194
Car2,-0.683193266,0.622785273
Rgs8,-0.615760446,0.652585824
Crhr1,-0.857887208,0.551760006
Synpr,0.804366827,1.746379169
Ccdc63,-1.539963126,0.343894244
Lrrtm2,0.513189554,1.427202012
Rit2,0.452822596,1.368715496
Nab1,-0.516764224,0.698937702
Map2,0.27994445,1.214148133
Rtel1,-0.712966681,0.610064345
Plcb3,-0.733622134,0.601392119
Daam2,-0.859923244,0.550981871
Tspan18,-1.532553434,0.345665031
Cabp2,-1.737318873,0.299926547
Epha5,0.949782014,1.931580781
Arhgef33,-0.503516138,0.705385518
Ddx58,1.143650413,2.209393534
Sema3a,0.633098483,1.550892278
Slc6a6,-0.50966996,0.702383101
Psd,-0.61853379,0.65133254
Wscd2,-0.490386546,0.711834348
Car9,-1.871191978,0.273347488
Neb,-0.853356004,0.553495693
Eomes,-1.237712383,0.424044512
Camkk2,-0.538066626,0.688693218
Ifi27l2a,1.757573485,3.381289366
Slitrk2,0.599310696,1.514992547
Igsf5,-0.45092389,0.731574204
Fam107b,-0.765752733,0.58814642
Ifi27l2b,1.748922348,3.361074097
Qdpr,-0.615278363,0.652803925
NA,-0.786596894,0.579709931
Tmem56,-0.42420572,0.745248917
Aspa,-0.929616868,0.524997745
Phyhip,-0.387810171,0.764288819
Atl2,-0.471218288,0.72135519
Abcc8,-0.728771985,0.603417321
Epha7,0.523445308,1.437383777
Cep76,-0.529723108,0.692687667
Chn2,-0.434173107,0.740117838
Unc13d,-1.51173985,0.350688044
Dgkz,-0.344075918,0.787812428
Ywhah,-0.383584023,0.766530965
Homer3,-0.428375751,0.743097927
Rasal1,-1.437748432,0.369142965
Syt7,-0.456194848,0.728906238
Pde3a,0.900083959,1.866174584
Dym,-0.449469656,0.732312001
Cep72,-0.699431479,0.615814832
Myh14,-0.61442709,0.653189231
NA,-1.462699175,0.362813697
Nalcn,0.299645007,1.230841512
Mybpc3,-1.237223268,0.4241883
Ckb,-0.473737955,0.720096443
Odf2,-0.491292894,0.711387291
Gprc5c,-0.597434998,0.660927991
Rtn1,0.329317153,1.256418554
Polr2a,0.670664012,1.591805441
A830018L16Rik,0.88425976,1.845817299
Hpcal1,-0.603702903,0.658062765
Rab37,-0.819292784,0.566719683
Col18a1,-0.665667474,0.630396979
Itga7,-0.733336926,0.60151102
Necab3,-0.933925867,0.523432037
Gsg1l,-0.877930582,0.544147403
Slc16a11,-1.050055742,0.482949504
Neurod2,-0.487808377,0.71310757
Nrep,-0.589208841,0.664707326
Peg3,0.389363348,1.309815264
Pdlim2,-0.701779783,0.614813273
Sbk1,-0.550763309,0.682658848
Neurod1,-0.41310513,0.751005235
Fgf11,-0.644469917,0.6397278
Gm996,-0.581138015,0.668436299
Lgi4,-0.381795734,0.767481705
Cp,0.559119642,1.473369866
Stat1,0.617097795,1.533786626
Gprin3,0.815499246,1.759907064
Rftn1,0.758909702,1.692211275
Mmp17,-0.671123862,0.62801727
Col27a1,-1.20688045,0.433204324
Ptprt,-0.52497226,0.694972473
Cerk,-0.317775875,0.802305796
Clstn2,-0.644155383,0.639867287
Mesdc1,-0.582163036,0.66796155
Klk6,-1.015128732,0.494784177
Ppp1r3c,-0.402534664,0.756527975
Tmem132a,-0.446423203,0.733860015
Arhgap26,-0.390271366,0.762986076
Jup,-0.429118961,0.742715215
Paqr7,-0.871825874,0.54645482
Chd7,-0.288936079,0.818505446
Mapk12,-0.752098799,0.593739171
Paxbp1,-0.448604017,0.732751531
Mcam,-0.909846246,0.532241811
Kcnd2,-0.289230287,0.818338546
Apod,0.460760504,1.376267114
Psd2,-0.404934824,0.755270413
Irf9,0.863129675,1.818979994
Kcnb2,1.047785521,2.067354105
Plekhd1,-0.49923715,0.707480775
Sema7a,-0.457456589,0.728269036
Gabbr2,-0.371693075,0.772874957
Opcml,-0.411644906,0.75176575
Mfge8,-0.424986303,0.744845803
Cbln3,-0.427214324,0.743696391
Paqr6,-0.78910768,0.578701914
Snca,0.594715118,1.51017435
Zfp644,-0.311545461,0.805778121
Amica1,-0.934761107,0.523129087
Rph3a,-0.355451703,0.781624881
Gng12,0.491534859,1.405939836
Aldoc,-0.467746615,0.723093135
Clu,-0.326778501,0.79731488
Glra2,0.867656291,1.824696207
Gabbr1,-0.326657087,0.797381983
Rims4,-0.388517231,0.763914335
Akr1a1,0.234546557,1.17653689
Mus81,-0.551198959,0.682452737
Id2,-0.38541463,0.765558945
Usp18,1.371262193,2.586967972
Rif1,-0.439525306,0.73737719
Fam21,-0.394440472,0.760784378
Syndig1l,0.966973484,1.954735605
Sdk1,1.056582451,2.079998447
Oasl2,1.276486397,2.422482757
Rnf213,0.930415273,1.905824499
Ak4,-0.357139528,0.780710984
Calb1,-0.355360627,0.781674225
Erc1,-0.374805629,0.771209309
NA,-0.638199627,0.642514257
Zic1,-0.3337816,0.79345395
Cgnl1,-0.61085254,0.654809637
Cd83,0.574176311,1.488827193
Marcks,0.546156228,1.460190124
Med12l,-0.310210496,0.806524075
Tiam1,-0.350831687,0.78413193
Srgap3,-0.337115258,0.79162262
Carhsp1,0.513207555,1.427219819
Cdk5rap1,1.09863925,2.141526084
Aff2,0.52905041,1.442979106
Dpysl3,0.54333663,1.457339121
Gbp3,0.872317314,1.830600924
Stx1b,-0.40694949,0.754216443
2810459M11Rik,-0.710908711,0.610935208
Cbln1,-0.350486159,0.784319753
Ncald,0.477948189,1.392761462
Ubash3b,-0.452815205,0.730615768
Nlgn1,0.368081719,1.290635594
Slc20a1,-0.371022016,0.773234538
NA,-0.349737287,0.784726983
Hspb8,-0.581944168,0.668062893
Nsg1,-0.369838178,0.773869294
Maf,-0.505937755,0.704202496
Cnksr2,-0.417795211,0.748567744
Tulp4,-0.331259906,0.794842045
Pcp2,-0.336121321,0.792168192
Trabd2b,-0.882675171,0.542360806
Pcdh11x,0.769862175,1.705106882
Dusp1,-0.75444597,0.592773981
Rnf123,-0.382321328,0.767202152
Pagr1a,-0.408168375,0.7535795
Zfp488,1.061147571,2.08659061
Aifm3,-0.49775067,0.708210103
Robo1,0.513091087,1.427104606
Tyro3,-0.503668487,0.705311033
Cntnap2,0.320311219,1.248599868
Elf2,-0.37801981,0.769493044
Tgfb3,0.506272793,1.420375906
Agt,-0.528997242,0.693036267
Erbb4,0.487691402,1.402199283
NA,-0.385697663,0.76540877
Tll1,-0.408544153,0.753383242
Map3k5,0.397440672,1.317169191
Prmt8,-0.380465925,0.76818946
Cic,-0.43584913,0.73925852
Strn3,-0.235384852,0.849458368
Camk4,-0.318698466,0.801792893
Eps8l2,-0.484478533,0.714755374
Pms1,-0.416561157,0.749208329
Dscam,0.444453567,1.360798605
Mtcl1,-0.462940186,0.725506183
Hrh3,-0.849078178,0.555139333
Baiap2,-0.344752133,0.787443254
Pls1,-0.625368536,0.64825416
Gprasp2,0.342235744,1.267719657
Ampd2,-0.422038734,0.746369153
Gprin1,-0.341028005,0.789478562
Lurap1,-0.284696788,0.820914123
Prrt2,-0.458685011,0.727649195
Cox6b2,-1.022582769,0.492234346
NA,0.983450353,1.977188408
Rbfox1,-0.347288102,0.786060303
Hsph1,0.453459024,1.369319422
Syt16,0.817711651,1.762607992
Fam135b,-0.378317028,0.769334532
Slc38a2,-0.279993057,0.823594981
Il33,-0.870020688,0.547139005
Anln,0.411335915,1.329916728
Cnnm4,-0.508475602,0.702964821
Sult4a1,0.261555463,1.19877048
Trak2,0.306982756,1.237117691
Srcin1,-0.417618245,0.748659572
Cxxc5,-0.32661137,0.797407251
Ankrd34a,-0.477119386,0.718410636
Angpt1,0.438917518,1.355586822
Creg1,-0.510188162,0.702130857
Camkk1,-0.41777131,0.748580146
Kcnk13,-0.895488024,0.537565321
Kcnc3,-0.457638383,0.728177272
Slc44a5,0.850099027,1.802624654
Zfp385c,-0.601107597,0.659247638
Crebrf,-0.313492656,0.804691302
Ppp1r17,-0.314213902,0.804289114
Gamt,-0.772205472,0.585521693
Syngr3,0.301540971,1.232460125
Fbrsl1,-0.576608181,0.670538381
Kcnc1,-0.398607939,0.758589896
