,Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
0,Grm4,-1.016761303,0.49422459
1,Dnah11,-1.757025719,0.29585748100000003
2,Igfbp5,-1.316598296,0.401480467
3,Fstl5,0.9359249470000001,1.9131167880000002
4,Svep1,-1.4231541159999999,0.37289617
5,Snrk,-0.8051368,0.57230781
6,Lrp1b,0.8495533470000001,1.801942964
7,Gng13,-0.584958851,0.6666683529999999
8,Plk5,-1.401484728,0.37853937299999996
9,Necab1,1.081834793,2.116726384
10,Atxn2,0.990790963,1.9872742230000002
11,Serpinb1a,-1.5183752780000002,0.34907881799999996
12,Stap2,-2.231780767,0.212895776
13,D8Ertd82e,-1.0289435390000001,0.490068887
14,Kcnip4,-0.72174269,0.606364547
15,Il20rb,-1.720641017,0.303413879
16,Rorc,-1.781140924,0.290953212
17,Mdfi,-1.55077672,0.341326251
18,Drosha,-0.8019363279999999,0.573578826
19,Gm15083,-2.204468966,0.216964518
20,Dusp5,-1.031533718,0.48918981799999994
21,Nab2,-1.241858482,0.42282761799999996
22,Btg1,-0.564077199,0.6763879209999999
23,Pitpnm3,-0.8001000290000001,0.5743093570000001
24,Brinp3,0.7525243159999999,1.684738078
25,AF529169,0.8126776809999999,1.7564684730000002
26,Irf7,1.692457795,3.2320685460000003
27,Ppp1r1b,-0.531609833,0.691782377
28,Uchl1,0.548150241,1.462209714
29,Megf11,-0.683323205,0.622729183
30,Peak1,-0.672039092,0.627618989
31,Acy3,1.551546574,2.9313120839999995
32,Pcp4,-0.487889141,0.71306765
33,Adrbk2,-0.504884779,0.7047166570000001
34,Csmd3,0.6808195109999999,1.603050096
35,Slc25a29,-0.9125904440000001,0.531230379
36,Syt12,-0.5092467070000001,0.7025891940000001
37,Car2,-0.683193266,0.622785273
38,Rgs8,-0.615760446,0.652585824
39,Crhr1,-0.857887208,0.551760006
40,Synpr,0.8043668270000001,1.7463791690000001
41,Ccdc63,-1.539963126,0.34389424399999996
42,Lrrtm2,0.513189554,1.427202012
43,Rit2,0.452822596,1.3687154959999999
44,Nab1,-0.516764224,0.698937702
45,Map2,0.27994445,1.214148133
46,Rtel1,-0.7129666809999999,0.610064345
47,Plcb3,-0.7336221340000001,0.601392119
48,Daam2,-0.8599232440000001,0.5509818710000001
49,Tspan18,-1.532553434,0.345665031
50,Cabp2,-1.7373188730000002,0.299926547
51,Epha5,0.9497820140000001,1.9315807809999999
52,Arhgef33,-0.503516138,0.7053855179999999
53,Ddx58,1.143650413,2.209393534
54,Sema3a,0.6330984829999999,1.550892278
55,Slc6a6,-0.50966996,0.7023831009999999
56,Psd,-0.61853379,0.65133254
57,Wscd2,-0.49038654600000003,0.711834348
58,Car9,-1.8711919780000001,0.273347488
59,Neb,-0.8533560040000001,0.553495693
60,Eomes,-1.2377123829999999,0.42404451200000004
61,Camkk2,-0.538066626,0.6886932179999999
62,Ifi27l2a,1.757573485,3.3812893660000003
63,Slitrk2,0.599310696,1.5149925469999999
64,Igsf5,-0.45092389,0.7315742040000001
65,Fam107b,-0.765752733,0.58814642
66,Ifi27l2b,1.748922348,3.361074097
67,Qdpr,-0.6152783629999999,0.652803925
68,Tmem56,-0.42420572,0.7452489170000001
69,Aspa,-0.929616868,0.524997745
70,Phyhip,-0.38781017100000004,0.764288819
71,Atl2,-0.471218288,0.72135519
72,Abcc8,-0.728771985,0.603417321
73,Epha7,0.523445308,1.437383777
74,Cep76,-0.529723108,0.6926876670000001
75,Chn2,-0.434173107,0.740117838
76,Unc13d,-1.51173985,0.350688044
77,Dgkz,-0.344075918,0.787812428
78,Ywhah,-0.383584023,0.766530965
79,Homer3,-0.428375751,0.743097927
80,Rasal1,-1.4377484319999998,0.369142965
81,Syt7,-0.456194848,0.728906238
82,Pde3a,0.900083959,1.8661745840000001
83,Dym,-0.449469656,0.7323120009999999
84,Cep72,-0.699431479,0.615814832
85,Myh14,-0.61442709,0.653189231
86,Nalcn,0.299645007,1.230841512
87,Mybpc3,-1.237223268,0.42418829999999996
88,Ckb,-0.473737955,0.720096443
89,Odf2,-0.491292894,0.711387291
90,Gprc5c,-0.597434998,0.660927991
91,Rtn1,0.32931715300000003,1.2564185540000001
92,Polr2a,0.670664012,1.591805441
93,A830018L16Rik,0.88425976,1.8458172990000001
94,Hpcal1,-0.603702903,0.658062765
95,Rab37,-0.819292784,0.566719683
96,Col18a1,-0.665667474,0.630396979
97,Itga7,-0.7333369259999999,0.60151102
98,Necab3,-0.933925867,0.5234320370000001
99,Gsg1l,-0.8779305820000001,0.544147403
100,Slc16a11,-1.050055742,0.482949504
101,Neurod2,-0.487808377,0.71310757
102,Nrep,-0.589208841,0.664707326
103,Peg3,0.38936334799999994,1.309815264
104,Pdlim2,-0.701779783,0.614813273
105,Sbk1,-0.550763309,0.682658848
106,Neurod1,-0.41310513,0.751005235
107,Fgf11,-0.644469917,0.6397278000000001
108,Gm996,-0.581138015,0.668436299
109,Lgi4,-0.381795734,0.767481705
110,Cp,0.5591196420000001,1.4733698659999999
111,Stat1,0.617097795,1.533786626
112,Gprin3,0.8154992459999999,1.759907064
113,Rftn1,0.7589097020000001,1.692211275
114,Mmp17,-0.6711238620000001,0.62801727
115,Col27a1,-1.20688045,0.433204324
116,Ptprt,-0.52497226,0.694972473
117,Cerk,-0.317775875,0.802305796
118,Clstn2,-0.644155383,0.6398672870000001
119,Mesdc1,-0.582163036,0.66796155
120,Klk6,-1.015128732,0.49478417700000005
121,Ppp1r3c,-0.402534664,0.756527975
122,Tmem132a,-0.446423203,0.733860015
123,Arhgap26,-0.390271366,0.7629860759999999
124,Jup,-0.429118961,0.742715215
125,Paqr7,-0.8718258740000001,0.54645482
126,Chd7,-0.288936079,0.818505446
127,Mapk12,-0.7520987990000001,0.5937391710000001
128,Paxbp1,-0.448604017,0.7327515309999999
129,Mcam,-0.909846246,0.532241811
130,Kcnd2,-0.289230287,0.8183385459999999
131,Apod,0.46076050399999996,1.376267114
132,Psd2,-0.40493482399999997,0.755270413
133,Irf9,0.863129675,1.818979994
134,Kcnb2,1.047785521,2.067354105
135,Plekhd1,-0.49923715,0.707480775
136,Sema7a,-0.45745658899999997,0.7282690359999999
