,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk,ATXN1_82Q_5_Wk-ATXN2_127Q_6_Wk,ATXN1_82Q_5_Wk-ATXN2_72Q_8_Wk,ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk,ATXN1_154Q_5_12_Wk-ATXN2_72Q_8_Wk,ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk
0,Adam23,2310003H01Rik,2410124H12Rik,Zranb1,Zranb1,Map3k5
1,Arhgap5,2410124H12Rik,6030419C18Rik,Ganab,Kcnip1,Lama2
2,Arhgap6,4930447C04Rik,A830018L16Rik,Kitl,Hsd3b7,Slc16a10
3,Baiap2,4930539E08Rik,AK129341,Mdk,Cul7,Cdk19
4,Bcar1,6030419C18Rik,Adamts18,Anxa7,Large,Tbata
5,Cacna1g,9630028H03Rik,Agfg2,Serpinf1,Trpc3,Col18a1
6,Cacna2d2,A330050F15Rik,Ajap1,Clpp,Fbxl15,Bsg
7,Clstn2,A730090H04Rik,Ak4,Kcnip1,Nab2,Klf16
8,Col18a1,A830018L16Rik,Arhgap20,Numb,Igfbp6,Lingo3
9,Col8a1,AK129341,Arhgap5,Stam2,Itga7,Nt5dc3
10,Cox6b2,Ablim2,Arhgef33,Polr2e,Mybpc3,Cdk17
11,Creg1,Abr,Atl2,Rnf26,Rdh11,Ptprr
12,Dap,Adam23,Baiap2,Large,En2,Kcnmb4
13,Doc2b,Adamts3,Basp1,Il11ra1,Gng13,Lyz2
14,Eln,Adcyap1,Bcar1,Trpc3,Tuba8,Nab2
15,F2r,Adprhl1,Bdnf,Nab2,Nxph3,Erbb3
16,Fgf11,Agfg2,Bmf,Hist1h2bc,Trim25,Gdf11
17,Fos,Ajap1,Cacnb2,Sp1,Cnnm1,Inpp5j
18,Gng13,Ak7,Calb1,Ramp2,Th,2210015D19Rik
19,Hr,Akap2,Camk2a,Apip,Doc2b,Spred2
20,Icmt,Amz1,Car4,Hbegf,Lrp8,Kcnip1
21,Id2,Ankrd33b,Car8,Gclm,St8sia5,Irgm1
22,Igfbp5,Ankrd34c,Ccnd1,Rdh11,Itga3,Mgat4b
23,Inpp5a,Anks1b,Cd82,Nfil3,Clstn2,Mprip
24,Itgb1bp1,Arhgap20,Cemip,Rabgef1,Prkcd,Atp1b2
25,Itpka,Arhgap31,Cep72,Gosr2,Syt12,Polr2a
26,Kalrn,Arhgap32,Cep76,Gng13,Agt,Fgf11
27,Kcnip1,Arhgap5,Chst15,Tuba8,Strn3,Nlgn2
28,Kcnma1,Arhgdig,Chst8,Abcb1a,Kcnc1,Dlg4
29,Kctd12,Arhgef33,Cldn11,Strap,Dym,Pitpnm3
30,Kitl,Arid5a,Clstn2,Cnnm1,Sbk1,Spns2
31,Lor,Arntl,Cnnm4,Ramp3,Itpka,Rap1gap2
32,Lrp8,Asb4,Col18a1,Atp2b2,Camkk2,Rtn4rl1
33,Ltbp2,Atf3,Col5a1,Th,Srgap3,Crk
34,Man1a,Atl2,Cox6b2,Doc2b,Rhog,Doc2b
35,Mmd,Atp2a3,Cpeb1,Slc4a4,Hmgcl,Spag5
36,Myo10,B3gat1,Cpne4,Akt2,Alad,Aldoc
37,Nfil3,B3gnt2,Creg1,Ptpn4,Snrk,Rab11fip4
38,Otof,B3gnt5,Cttnbp2,Lrp8,Pitpnm1,Lhx1
39,Pcp4,Baiap2,Cyth3,St8sia5,Olfm1,Car4
40,Pde9a,Baiap3,D8Ertd82e,Mrps34,Mrgprf,Hlf
41,Plcb3,Basp1,Dagla,Itga3,Asph,Itga3
