,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk,ATXN1_82Q_5_Wk-ATXN2_127Q_6_Wk,ATXN1_82Q_5_Wk-ATXN2_72Q_8_Wk,ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk,ATXN1_154Q_5_12_Wk-ATXN2_72Q_8_Wk,ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk
0,Cacna1g,Cacna1g,Glra2,Trpc3,Trpc3,Kcnk10
1,Kcnma1,Cacna1i,Grik1,Cacna1g,Kcnc1,Kcnd2
2,Ryr1,Gabra5,Kcna6,Kcnc1,Kcnq2,Kcna6
3,Trpc3,Glra2,Kcnc3,Kcnma1,Gria1,Kcnc3
4,,Grid2,Kcng4,Kcnq2,Kcnj9,Kcnc1
5,,Grik1,Kcnk1,Ryr1,Kcnd2,Trpc6
6,,Kcna6,Trpc3,Tpcn1,,Panx1
7,,Kcnc3,,Itpr1,,Glra2
8,,Kcng4,,Kcnj6,,Grik1
9,,Kcnh5,,Kcnd2,,Kcnq2
10,,Kcnma1,,,,Trpc3
11,,Kcnq5,,,,Gria2
12,,Kcnt2,,,,Kcng4
13,,Ryr1,,,,Aqp6
14,,Ryr3,,,,
15,,Trpc3,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
